DEF A 50000
561 83459
-693 83679
-142 216495
255 55105
900 203875
337 336051
912 410404
-314 385651
985 319751
160 297273
-659 3325
-729 468203
479 156902
183 408723
-158 270113
156 473863
-556 194931
-771 271921
122 141868
236 453501
293 194802
-835 492617
875 194321
886 204204
-333 101566
165 262029
904 176896
-893 334436
-742 300420
636 343179
-586 288881
270 289485
-491 123530
433 351562
-591 483413
338 184815
556 236364
-913 346672
-494 40952
-647 404067
904 253538
497 421119
404 444
-338 484963
-547 232344
-267 196806
101 106540
558 233345
889 184632
-228 189015
888 95466
642 143446
-359 32247
877 487112
674 69273
373 407375
-421 489569
198 8187
336 168329
-192 335248
-193 344807
748 337502
-988 264663
-2 92691
251 405726
624 319407
10 265527
-33 175598
581 88389
-85 473663
-120 153081
823 76458
-647 457918
-683 49855
936 464851
659 367258
779 12600
839 265803
-490 149177
-876 119047
454 100663
499 9758
-655 2117
-367 69761
353 396287
-378 479596
-517 253844
-598 466428
134 12532
-986 298956
408 369634
-878 831
20 422160
-446 90884
282 78850
-547 441972
249 245283
-764 391999
267 232065
35 208459
-987 86753
525 146347
-51 344925
-805 167905
-976 372443
486 315144
-320 373027
388 178226
-440 412815
-292 288626
-602 466929
-801 493819
-948 61953
860 294010
-747 364093
702 237355
268 490037
-450 261731
-607 300061
490 297718
-706 69125
774 358533
607 141994
-187 26485
948 213312
-710 79780
-704 258340
-229 62527
65 477898
330 270039
273 322847
792 225217
84 417580
-16 231134
686 485988
885 275638
953 134730
684 366057
-535 101734
-586 141804
353 494167
-878 259685
-522 219865
-969 347620
-359 356485
-882 132586
721 471319
-285 290573
210 306669
155 320821
-961 113995
-842 56664
-159 483648
253 88897
-351 490790
-909 69442
-687 381477
167 268426
425 382424
266 302201
-537 213320
-712 154489
648 273635
-933 457519
-911 47348
399 217866
879 274057
-403 197145
-877 252827
-963 425743
-248 330448
622 146306
-232 60562
-775 849
-531 324714
698 29730
-529 477671
625 482108
-684 138886
755 153274
-790 179155
723 185425
-994 245808
904 200715
-778 290581
614 152888
726 3500
314 463640
546 225559
-41 310196
264 321740
